date,Cooler,Heater,Drive 1 started,Sync signal from S10-2991 (DOUT1 Cooler),Command Drive speed Drive 1,Actual Speed Drive 1,Current Propotional Coil Pump 1,Pressure Drain filter 1,Pressure B-side Pump 1,Temp Drain Pump 1,Displacement Pump 1,Current Electric motor 1,Pressure A-side Pump 1,Temp Drain line from Hydraulic motor 1 in tank 1,Temp Oil tank 1,Temp Hydraulic out Cooler 1,Temp Hydraulic in Cooler 1,Pressure Hydraulic in Cooler 1,Temp Drain Hydraulic motor 1,Pressure House Hydraulic motor 1,Temp A-side loop Hydraulic motor 1,Pressure Charge Pump 1,Temp C-side loop Hydraulic motor 1,Temp Ambient Outside power unit
2013-09-09 01:16:00,0,0,0,0,0,0,0,16.7923410856,9.0662053874,16.5906548389,0.0696642878,0,0.0491333325,16.3524671237,17.6000003815,12.4387371765,10.915023269,0,13.4407150552,0,13.5699996948,0,13.3100004196,11.326361151
2013-09-09 01:17:00,0,0,0,0,0,0,0,16.56100022,9.0666147219,16.5840973148,-0.0100960388,0,0.0531466657,16.3384062514,17.6000003815,12.4323621769,10.9061477297,0,13.439848391,0,13.5314331357,0,13.3100004196,11.3809858384
2013-09-09 01:18:00,0,0,0,0,0,0,0,16.4468423442,9.0658399978,16.5815001367,0.0264650861,0,0.0608866656,16.3881946817,17.6000003815,12.4170996919,10.8121966858,0,13.4395172014,0,13.5699996948,0,13.3100004196,11.3927728839
2013-09-09 01:19:00,0,0,0,0,0,0,0,16.4557832643,9.0615753036,16.5745206452,0.0830751638,0,0.0479166657,16.3284043574,17.6000003815,12.4257996758,10.8783554668,0,13.4366623681,0,13.5486853911,0,13.2911055081,11.3264490376
2013-09-09 01:20:00,0,0,0,0,0,0,0,16.4563753287,9.0637173236,16.5793399175,0.0579156788,0,0.0570877768,16.3209771955,17.6000003815,12.4244496667,10.8358298833,0,13.4368377644,0,13.4646365739,0,13.2084285584,11.3731080587
2013-09-09 01:21:00,0,0,0,0,0,0,0,16.4260002772,9.0842276057,16.5817884874,0.0592752937,0,0.0533981186,16.3201915,17.6000003815,12.4240639469,10.8328234384,0,13.4242682125,0,13.4278378689,0,13.3100004196,11.3266834185
2013-09-09 01:22:00,0,0,0,0,0,0,0,16.4461564902,9.0777881887,16.5749972131,0.064905495,0,0.047997435,16.3115396141,17.6000003815,12.4108853927,10.8558231921,0,13.4161537445,0,13.4934280242,0,13.3030670802,11.3736386583
2013-09-09 01:23:00,0,0,0,0,0,0,0,16.37434413,9.0686907146,16.5759110544,0.0629228252,0,0.0454522513,16.317881631,17.6000003815,12.4156746777,10.9186401922,0,13.387587995,0,13.4389443767,0,13.2692115344,11.3190139708
2013-09-09 01:24:00,0,0,0,0,0,0,0,16.7501802619,9.0716758182,16.5776247952,0.0690474851,0,0.049677747,16.314163822,17.6000003815,12.4001497062,10.832238805,0,13.3100004196,0,13.4403065128,0,13.1802142247,11.3000001907
2013-09-09 01:25:00,0,0,0,0,0,0,0,16.373320374,9.0654612279,16.5745966864,0.0652991864,0,0.0365699992,16.3110115316,17.6000003815,12.4147746905,10.8229254989,0,13.3100004196,0,13.4442611565,0,13.1856919068,11.3000001907
